"Part no","Invoice qty"
"70504","1"
"75498","1"
"80605","20"
"80638","2"
"80643","1"
"80658","1"
"80668","2"
"80702","1"
"80706","3"
"80713","3"
"80775","12"
"80833","5"
"81050","2"
"81120","3"
"1536200","1"
"80259","60"
"3838510","1"
"7250501-7","2"
"81113","1"
"80629","4"
"80675","4"
"80250","2"
"1630003","2"
"80286","24"
"1630008","2"
"1630014","2"
"1630016","1"
"2260020","4"
"2483875","6"
"2488600","2"
"3160001","3"
"3162001","5"
"3162006","3"
"3320001","3"
"3733163","3"
"3737834","3"
"3838500","2"
"3838530","1"
"3917438","1"
"3918014","1"
"5000025","10"
"5000029","2"
"5380015","1"
"5671516","2"
"5671520","1"
"400000","8"
"400001","5"
"400002","2"
"80701","3"
"20260","3"
"20297","1"
"30262","10"
"35498","20"
"40297","1"
"46075","4"
"46112","3"
"70239","4"
"70274","5"
"70360","2"
"70460","4"
"15150S","2"
"80704","1"
"5671510","2"
"5671516","1"
"400003","5"
"400007","1"
"400008","1"
"400009","1"
"77100","1"
"77102","1"
"77103","1"
"77104","2"
"77107","1"
"20297","2"
"20404","1"
"35498","6"
"40297","2"
"40496","1"
"46003","20"
"46013","10"
"17234","1"
"1745000","1"
"70295","1"
"81113","1"
"1147494","1"
"10237","1"
"77101","1"
"3327302","3"
"20261","1"
"1745000","10"
"814310","1"
"817563","1"
"81069","1"
"80605","22"
"80638","3"
"80675","2"
"80680","2"
"80681","1"
"80688","2"
"80706","4"
"80713","2"
"80776","1"
"80832","3"
"80842","3"
"81050","2"
"1147494","2"
"1175778","2"
"1300041","8"
"1300055","1"
"1530020","2"
"3162014","1"
"3327302","5"
"3734529","1"
"3910201","1"
"3914339","1"
"2480003","1"
"17213","1"
"42541","8"
"43041","6"
"325108","8"
"430402","5"
"817495","2"
"9430109","2"
"942553","2"
"943043","2"
"943050","2"
"943051","2"
"2220125","2"
"2230125","4"
"942545","2"
"1630014","1"
"3917438","1"
"3162001","7"
"3917535","2"
"5000024","2"
"5010016","3"
"20234","3"
"20412","1"
"30262","5"
"30499","3"
"46003","15"
"46075","8"
"46112","3"
"50260","1"
"70244","2"
"70265","4"
"70266","8"
"70274","2"
"70360","1"
"80250","2"
"80259","96"
"80278","4"
"1630002","3"
"1630050","3"
"5000025","7"
"46054","2"
"70266","15"
"70273","3"
"70274","2"
"70460","3"
"70502","2"
"70503","2"
"80259","48"
"80323","3"
"80638","3"
"80659","4"
"80706","7"
"80776","2"
"80833","2"
"80842","4"
"81002","1"
"81020","1"
"1148429","3"
"1300041","4"
"1630103","2"
"1630114","2"
"2480003","1"
"2488601","1"
"3160001","4"
"3160009","1"
"3162006","1"
"3737437","2"
"3737637","1"
"3914339","1"
"5000025","7"
"5008555","1"
"5384106","1"
"81052","1"
"46112","4"
"943052","1"
"80835","1"
"3916020","1"
"30299","1"
"1745000","9"
"30228","1"
"77106","1"
"77105","1"
"3738616","1"
"35498","20"
"46003","15"
"46013","6"
"50260","1"
"70244","3"
"70264","2"
"70273","4"
"70297","2"
"70419","1"
"70497","1"
"80259","36"
"80605","10"
"80609","1"
"80629","2"
"80668","1"
"80675","2"
"80680","3"
"80710","3"
"80775","3"
"80833","2"
"80842","5"
"80883","1"
"81002","1"
"1144580","4"
"1147494","3"
"1148429","2"
"1175778","1"
"1630003","2"
"1630050","3"
"2260020","6"
"2483875","5"
"3160001","3"
"3160006","1"
"3320001","3"
"3733163","2"
"3737637","1"
"3913780","1"
"3914339","1"
"3917308","2"
"3918014","1"
"5008555","1"
"5380015","1"
"5671516","4"
"400001","10"
"400003","8"
"400006","3"
"3910002","1"
"40263","1"
"81045","1"
"42441","4"
"42443","3"
"430402","10"
"942546","2"
"2220125","4"
"9430109","1"
"400007","2"
"81040","1"
"10230","2"
"10231","1"
"20234","6"
"20462","5"
"30262","10"
"30499","7"
"5385430","1"
"3915071","1"
"3737437","1"
"5671510","6"
"1530032","1"
"17417","1"
"46112","5"
"20260","4"
"1745000","5"
"5671510","-6"
"10235","1"
"70266","10"
"70419","1"
"70497","2"
"80250","3"
"80259","24"
"80605","20"
"80629","6"
"80638","3"
"80681","1"
"80683","4"
"80706","8"
"80711","2"
"80713","1"
"80775","10"
"80831","3"
"80833","5"
"80834","2"
"80885","2"
"81002","1"
"81045","2"
"1175778","3"
"1536200","1"
"1630003","2"
"2480003","3"
"3162001","5"
"3162014","1"
"3327302","8"
"3737834","1"
"35498","5"
"46076","4"
"46112","5"
"50498","1"
"70239","6"
"42441","8"
"42541","10"
"817541","1"
"942545","4"
"3910002","2"
"5010016","1"
"5671510","6"
"400000","3"
"400001","5"
"400009","2"
"20260","2"
"20297","1"
"17129","1"
"70418","1"
"3918791","1"
"3160009","1"
"9430109","1"
"20462","3"
"5000025","5"
"1632008","1"
"5388620","1"
"12418409","2"
"17139","1"
"30499","2"
"40263","1"
"40497","2"
"46110","1"
"70239","2"
"2480021","1"
"45043","1"
"3734089","1"
"425501-L","1"
"425501-R","1"
"952548","2"
"3916790","1"
"842541","2"
