"Part no","Invoice qty"
"3915071","-1"
"3915086","-1"
"3915201","-1"
"5000024","-1"
"5385430","-1"
"5671521","-1"
"10225","-1"
"30289","-1"
"40497","-2"
"45052","-1"
"46054","-1"
"70419","-1"
"77102","-1"
"80883","-1"
"77106","-1"
"77107","-1"
"80669","-2"
"817496","-1"
"819106","-3"
"3916020","-1"
"5671520","-1"
"1175778","1"
"1050180","1"
"1530011","1"
"5387436","5"
"81125","1"
"3162002","1"
"3162002","1"
"46075","3"
"3162002","2"
"3327302","4"
"46003","-5"
"1745000","-1"
"3734734","1"
"1170198","-1"
"46075","-1"
"400001","6"
"400007","3"
"40437","1"
"30262","2"
"30499","1"
"35498","20"
"46003","5"
"46013","15"
"80681","2"
"80690","2"
"80706","1"
"80712","1"
"80713","1"
"80717","2"
"80776","1"
"80793","2"
"2260020","3"
"3160001","3"
"400004","1"
"3160006","3"
"3160009","1"
"3327302","5"
"3733163","3"
"3913780","1"
"80832","1"
"80833","4"
"42543","4"
"430402","5"
"843015","3"
"3916848","1"
"3917308","3"
"46076","2"
"81050","2"
"81060","1"
"1144580","4"
"1148429","1"
"1170100","4"
"1300041","2"
"1530010","3"
"70268","1"
"70297","1"
"1630008","2"
"80250","3"
"5000025","8"
"5671510","1"
"80259","60"
"80605","4"
"80659","1"
"80675","3"
"81120","4"
"80250","2"
"50281","1"
"5010016","3"
"5010016","4"
"3738605","1"
"5010016","2"
"817129","1"
"3738609","1"
"80832","3"
"80834","1"
"80840","2"
"80842","8"
"80885","2"
"81040","1"
"81045","2"
"81060","2"
"81113","2"
"81125","1"
"3910205","-1"
"1630103","1"
"1630225","2"
"1940006","2"
"2480003","1"
"3160009","1"
"3162006","1"
"3162015","1"
"3162020","1"
"3734734","1"
"3737437","1"
"5000023","1"
"5000025","10"
"5000029","3"
"5671510","2"
"400000","6"
"400001","4"
"10231","3"
"50260","1"
"50498","2"
"70266","6"
"70268","2"
"70273","1"
"70274","3"
"80259","72"
"80605","10"
"80638","3"
"80675","3"
"80690","2"
"80706","3"
"3737834","1"
"20228","2"
"20340","2"
"30262","6"
"30289","1"
"1144580","1"
"80833","3"
"3917438","2"
"17273","1"
"8218400","2"
"T4040","1"
"5387236","6"
"5386836","5"
"5384084","1"
"40262","1"
"46112","2"
"80776","1"
"1147494","3"
"1148429","1"
"3916030","1"
"3910205","5"
"17468","1"
"45034","1"
"10236","1"
"80712","2"
"80713","3"
"80688","2"
"81020","2"
"81045","3"
"81050","2"
"80717","6"
"80735","1"
"80776","3"
"80832","2"
"80726","1"
"70469","3"
"30228","1"
"30262","15"
"80680","4"
"80681","5"
"80683","8"
"80605","50"
"80609","2"
"80629","10"
"80675","10"
"70274","10"
"70460","2"
"1530010","1"
"1530020","2"
"70497","2"
"80250","4"
"80259","96"
"80278","10"
"1300041","5"
"20228","2"
"20234","3"
"20297","1"
"5010016","3"
"5380036","1"
"20412","2"
"20462","8"
"22164","2"
"70268","2"
"70273","4"
"81120","2"
"80775","2"
"70465","2"
"81052","3"
"10230","1"
"10280","3"
"20400","1"
"2483875","2"
"70266","30"
"80706","5"
"5008555","2"
"3838530","2"
"3915033","3"
"40496","4"
"46003","25"
"46013","15"
"46075","15"
"2260020","3"
"2480003","2"
"5671510","5"
"5671516","2"
"1175778","6"
"80690","6"
"81060","3"
"81063","2"
"50260","3"
"64511","3"
"70239","4"
"70244","2"
"70264","1"
"70265","1"
"30289","3"
"30499","3"
"35498","15"
"40262","2"
"46076","1"
"46112","3"
"3162001","4"
"3327302","10"
"3737834","2"
"3910204","1"
"3914339","1"
"3917438","1"
"1630050","2"
"1630103","4"
"2488600","2"
"3160001","6"
"3160006","3"
"3160014","1"
"80833","10"
"80834","6"
"80842","10"
"80885","4"
"81002","2"
"1630003","2"
"5387238","6"
"17367","1"
"5384331","5"
"5387236","6"
"80840","-1"
"400009","3"
"400008","3"
"3735587","1"
"70297","2"
"70297","4"
"400001","20"
"400004","2"
"400007","3"
"400000","30"
"400002","12"
"400003","6"

